source,target,strength
93,2,306294
94,2,506222
95,2,312905
96,2,361294
97,2,1693904
98,2,310892
99,2,2047032
100,2,1699959
101,2,436855
102,2,303224
103,2,19837207
104,2,744460
105,2,1814590
106,2,403067
107,2,12911335
108,2,318130
109,2,441356
110,2,261165
111,2,2075202
112,2,493274
113,2,286007
114,2,110452
115,2,877122
116,2,7903137
117,2,631615
118,2,2156261
119,2,167001
120,2,293029
121,2,233112
122,2,397253
123,2,211508
124,2,147097
125,2,141045
126,2,219801
127,2,402380
128,2,69150
129,2,449200
130,2,330835
131,2,283894
132,2,127056
133,2,94735
134,2,78997
4,3,7169004
5,3,7303117
6,3,30608148
7,3,20156687
8,3,15177513
9,3,31982984
10,3,25906051
11,3,2713847
12,3,12910615
13,3,10735644
14,3,3177748
15,3,10422832
16,3,2930669
17,3,20260397
18,3,776408
19,3,7131431
20,3,9316594
21,3,1571884
22,3,1261691
23,3,10988973
24,3,8023199
25,3,8571982
26,3,2908494
27,3,1835550
28,3,1388872
29,3,1621520
30,3,2664519
31,3,1389744
32,3,1221075
33,3,3964458
34,3,1980402
35,3,733677
36,3,1774172
37,3,3141242
38,3,1641086
39,3,1808901
40,3,1975047
41,3,3185995
42,3,39366314
43,3,1673645
44,3,2060856
45,3,686248
46,3,642337
47,3,357144
48,3,1795730
49,3,602588
50,3,1113703
51,3,2994918
52,3,803935
53,3,852368
54,3,1487045
55,3,282384
56,3,442649
57,3,1454711
58,3,617311
59,3,682322
60,3,5135562
61,3,1326851
62,3,1032335
63,3,141224
64,3,539943
65,3,1359087
66,3,8632595
67,3,1701353
68,3,1203735
69,3,6155582
70,3,1839595
71,3,3880556
72,3,272006
73,3,1640163
74,3,357211
75,3,618106
76,3,602196
77,3,1006355
78,3,601994
79,3,414570
80,3,192045
81,3,1235361
82,3,7536731
83,3,300111
84,3,14716089
85,3,169802
86,3,1066944
87,3,149817
88,3,364490
89,3,1023644
90,3,137520
91,3,261448
92,3,231640
93,3,432188
94,3,353952
95,3,87968
96,3,114316
97,3,146912
98,3,824775
99,3,222887
100,3,144893
101,3,5719331
102,3,197181
103,3,295610
104,3,563640
105,3,194138
106,3,241413
107,3,121952
108,3,731923
109,3,214916
110,3,310885
111,3,137888
112,3,1736579
113,3,89116
114,3,68776
115,3,259384
116,3,100036
117,3,107120
118,3,228732
119,3,46604
120,3,127016
121,3,98495
122,3,67662
123,3,159028
124,3,303266
125,3,86446
126,3,39421
127,3,63966
128,3,48592
129,3,71523
130,3,195298
131,3,41209
132,3,264544
133,3,117278
134,3,22297
5,4,7767139
6,4,6491393
7,4,23523272
8,4,17582990
9,4,4890896
10,4,10622109
11,4,3697891
12,4,5215482
13,4,44613623
14,4,10607360
15,4,6300240
16,4,4181532
17,4,5371630
18,4,605352
19,4,1270170
20,4,2841424
21,4,2609245
22,4,1329546
23,4,2384283
24,4,5862288
25,4,1379759
26,4,1454498
27,4,1317747
28,4,1783511
29,4,5537841
30,4,4560274
31,4,1840914
32,4,6767236
33,4,773507
34,4,2823636
35,4,1067062
36,4,3284669
37,4,8085740
38,4,4588137
39,4,1331370
40,4,4415922
41,4,5168752
42,4,1428996
43,4,2913824
44,4,5049300
45,4,846714
46,4,4327191
47,4,2399458
48,4,3458938
49,4,2467014
50,4,1437619
51,4,1074874
52,4,991518
53,4,832963
54,4,664694
55,4,264744
56,4,1702791
57,4,289009
58,4,428812
59,4,5671386
60,4,3836617
61,4,6692375
62,4,1964707
63,4,484089
64,4,494631
65,4,1678286
66,4,403159
67,4,429397
68,4,1784253
69,4,485891
70,4,347624
71,4,648900
72,4,2408722
73,4,212195
74,4,442925
75,4,870083
76,4,1388512
77,4,260581
78,4,904305
79,4,1678276
80,4,7630002
81,4,371673
82,4,245898
83,4,1000181
84,4,1137057
85,4,443959
86,4,308931
87,4,574909
88,4,1938939
89,4,768868
90,4,82914
91,4,953283
92,4,549202
93,4,240806
94,4,163052
95,4,1019070
96,4,465385
97,4,145417
98,4,184071
99,4,225007
100,4,144483
101,4,135985
102,4,492624
103,4,638186
104,4,349386
105,4,305903
106,4,148786
107,4,317176
108,4,67435
109,4,19860548
110,4,642516
111,4,625974
112,4,241293
113,4,270647
114,4,325799
115,4,204538
116,4,219661
117,4,66906
118,4,148638
119,4,119058
120,4,254159
121,4,167161
122,4,32059
123,4,91452
124,4,352881
125,4,183575
126,4,38836
127,4,101136
128,4,277186
129,4,83595
130,4,84120
131,4,31320
132,4,45280
133,4,28876
134,4,319689
6,5,12282080
7,5,36858409
8,5,11119405
9,5,5615350
10,5,26447783
11,5,12603901
12,5,5699330
13,5,7696213
14,5,5657504
15,5,72127765
16,5,28698373
17,5,10939841
18,5,4692824
19,5,31377599
20,5,4244280
21,5,7343486
22,5,17579636
23,5,3508617
24,5,30843365
25,5,2912411
26,5,5295568
27,5,2184576
28,5,26003993
29,5,1602839
30,5,2170881
31,5,773449
32,5,72528076
33,5,1456820
34,5,1263359
35,5,2922543
36,5,1669576
37,5,3242611
38,5,1484015
39,5,4950110
40,5,1227223
41,5,2495534
42,5,1190004
43,5,85092647
44,5,3400873
45,5,19112903
46,5,1955803
47,5,737915
48,5,2633358
49,5,2854078
50,5,559692
51,5,2511213
52,5,643676
53,5,40661957
54,5,1264306
55,5,1744667
56,5,376374
57,5,645180
58,5,1845314
59,5,594924
60,5,2356865
61,5,2075156
62,5,2618279
63,5,494655
64,5,1787537
65,5,4681407
66,5,740400
67,5,7343699
68,5,3578064
69,5,501602
70,5,742301
71,5,3275236
72,5,394173
73,5,539517
74,5,274558
75,5,500777
76,5,602454
77,5,520794
78,5,827841
79,5,315045
80,5,212948
81,5,745852
82,5,418222
83,5,410376
84,5,969526
85,5,406776
86,5,467342
87,5,402480
88,5,348322
89,5,3107078
90,5,207868
91,5,175798
92,5,16949808
93,5,193211
94,5,326381
95,5,248456
96,5,1157298
97,5,1068012
98,5,304303
99,5,521614
100,5,1998681
101,5,337832
102,5,210658
103,5,24466494
104,5,589987
105,5,500025
106,5,253486
107,5,3284764
108,5,344314
109,5,1520197
110,5,218094
111,5,951511
112,5,191550
113,5,250553
114,5,68429
115,5,507446
116,5,5898917
117,5,180062
118,5,229970
119,5,49478
120,5,246541
121,5,100919
122,5,130493
123,5,227612
124,5,233888
125,5,78076
126,5,285427
127,5,273550
128,5,35387
129,5,3419107
130,5,119819
131,5,80265
132,5,3262122
133,5,32927
134,5,42372
7,6,25063537
8,6,31606674
9,6,49550055
10,6,16736351
11,6,2588603
12,6,44173368
13,6,8383200
14,6,3001839
15,6,16722823
16,6,3420580
17,6,42119575
18,6,738387
19,6,4902797
20,6,30368312
21,6,1502836
22,6,1260934
23,6,22879462
24,6,4406130
25,6,20790889
26,6,1202902
27,6,1170996
28,6,3453423
29,6,2095773
30,6,2132756
31,6,887642
32,6,1173305
33,6,11623292
34,6,1162636
35,6,773214
36,6,1690991
37,6,2112690
38,6,1229289
39,6,1436614
40,6,1788034
41,6,1448861
42,6,2577281
43,6,3183241
44,6,1845895
45,6,950725
46,6,540964
47,6,319542
48,6,1208189
49,6,545121
50,6,998639
51,6,7785782
52,6,804660
53,6,832087
54,6,658710
55,6,249748
56,6,387199
57,6,8680843
58,6,501667
59,6,587613
60,6,1697925
61,6,1134046
62,6,630155
63,6,114197
64,6,328581
65,6,930398
66,6,5414877
67,6,721909
68,6,640523
69,6,4109032
70,6,6583499
71,6,1382321
72,6,211195
73,6,5979659
74,6,370323
75,6,786384
76,6,848871
77,6,5493045
78,6,711057
79,6,603153
80,6,134835
81,6,6828758
82,6,3616181
83,6,184688
84,6,1272161
85,6,199975
86,6,3314107
87,6,143624
88,6,418945
89,6,1323650
90,6,118619
91,6,120356
92,6,174589
93,6,144922
94,6,199036
95,6,88755
96,6,96514
97,6,136166
98,6,2506575
99,6,259463
100,6,156167
101,6,450702
102,6,170096
103,6,168168
104,6,1130601
105,6,152340
106,6,91871
107,6,75518
108,6,249917
109,6,184477
110,6,233973
111,6,287618
112,6,181062
113,6,102468
114,6,71375
115,6,215618
116,6,73384
117,6,94743
118,6,110107
119,6,35195
120,6,224493
121,6,101631
122,6,45755
123,6,497779
124,6,272517
125,6,59725
126,6,34620
127,6,124801
128,6,31525
129,6,86228
130,6,60649
131,6,49364
132,6,46249
133,6,60232
134,6,27876
8,7,32921179
9,7,10103145
10,7,40832399
11,7,13723953
12,7,8111518
13,7,23261331
14,7,8221494
15,7,45430186
16,7,32591634
17,7,29145199
18,7,3318778
19,7,5343678
20,7,4622341
21,7,13865166
22,7,3090011
23,7,7293057
24,7,68017705
25,7,2725217
26,7,23271247
27,7,21927356
28,7,3654566
29,7,3161017
30,7,3502833
31,7,22153112
32,7,5705925
33,7,1641004
34,7,2520184
35,7,6725592
36,7,12299446
37,7,9236364
38,7,2999776
39,7,3617152
40,7,4323081
41,7,6697720
42,7,12446631
43,7,12080076
44,7,10111460
45,7,10041674
46,7,2635360
47,7,3319716
48,7,8939720
49,7,1933520
50,7,8961930
51,7,1043395
52,7,5407926
53,7,7984893
54,7,4840109
55,7,3295606
56,7,931897
57,7,670427
58,7,8105462
59,7,5618143
60,7,6500842
61,7,3955669
62,7,4772290
63,7,1059291
64,7,4663555
65,7,6494475
66,7,836887
67,7,13017130
68,7,2971872
69,7,842212
70,7,823179
71,7,25904456
72,7,745947
73,7,719016
74,7,3980714
75,7,2407551
76,7,2760402
77,7,538467
78,7,2472785
79,7,1294355
80,7,531882
81,7,1034933
82,7,415393
83,7,638338
84,7,1642993
85,7,1130025
86,7,620092
87,7,588470
88,7,1201740
89,7,3736392
90,7,2997613
91,7,530002
92,7,1314215
93,7,519696
94,7,547298
95,7,556362
96,7,816872
97,7,679719
98,7,256706
99,7,1463236
100,7,557581
101,7,848842
102,7,6497699
103,7,1844554
104,7,5264694
105,7,1798253
106,7,673470
107,7,813323
108,7,185333
109,7,5687041
110,7,1103072
111,7,1584948
112,7,353888
113,7,330025
114,7,176167
