mercix,merciy,size,blankx,blanky,heartx,hearty,symbolx,symboly
354,380,19,915,790,974,530,482,468
1675,482,19,467,221,1134,598,522,400
1608,173,19,327,90,1245,607,682,251
1254,756,19,1309,128,1295,160,903,797
1149,187,19,515,280,991,438,1425,865
1202,475,19,279,782,1149,246,369,581
1008,181,19,1269,865,860,498,557,434
1196,555,19,446,526,617,396,1409,394
1319,237,17,1848,604,798,209,1513,855
352,278,17,97,424,585,271,642,553
690,207,17,1622,547,944,254,1303,496
621,643,17,663,840,1230,233,1384,780
1244,230,17,1004,898,1401,285,797,292
1202,445,17,625,532,1057,714,1473,412
1254,541,17,144,66,870,812,757,722
929,639,17,973,567,1045,451,520,369
1204,832,17,1759,126,1004,844,905,145
689,361,17,1210,809,856,633,1349,430
743,142,17,304,377,620,482,600,590
695,148,17,1701,831,1403,251,1146,869
547,333,17,227,923,1299,361,912,196
719,814,17,799,657,1022,639,810,707
602,186,17,1648,563,827,755,1303,216
406,145,17,442,366,1104,350,709,586
635,331,17,243,613,1117,218,738,589
1339,822,17,701,182,1166,486,1219,148
353,221,17,169,250,1206,496,678,346
753,346,17,882,694,1226,49,773,814
728,603,17,1484,513,941,512,1218,926
355,353,17,1313,809,661,382,1336,928
1017,599,17,1270,178,733,261,1564,151
1619,141,17,1643,918,523,222,531,683
825,481,17,1868,102,1448,484,1416,67
974,249,17,1483,225,657,354,1434,654
741,689,17,494,237,1202,419,1190,116
1411,611,17,1583,611,637,221,1580,271
1627,266,17,1685,320,744,502,403,386
1461,285,17,1564,788,958,825,1420,829
663,623,17,1511,439,1060,294,1498,717
920,304,17,1911,473,1478,392,775,257
979,388,15,714,384,971,728,1376,940
1258,584,15,455,163,976,615,501,645
1372,374,15,1478,412,1098,405,444,544
1060,425,15,297,950,927,784,1483,243
865,306,15,714,18,816,331,552,607
1007,889,15,1060,656,560,354,619,641
1295,434,15,80,975,882,695,656,655
1099,625,15,1476,539,1144,464,872,779
1323,342,15,1090,898,558,164,816,361
1203,369,15,1699,126,803,687,555,315
928,145,15,1762,194,873,136,1366,54
417,328,15,796,600,919,242,1515,612
669,323,15,621,350,1359,112,1598,398
1143,248,15,79,844,986,828,1201,282
1194,695,15,1836,527,1103,77,780,618
1281,380,15,1451,346,1238,468,1321,518
1147,154,15,952,293,648,464,363,447
1143,213,15,429,343,1038,840,752,399
982,330,15,896,491,997,169,1620,795
536,394,15,105,492,1304,73,1438,595
753,207,15,1301,550,979,361,1542,835
642,573,15,595,703,1330,485,841,233
1406,829,15,466,866,891,742,515,536
1471,139,15,1124,644,851,750,1293,58
1374,300,15,827,397,1406,443,1612,203
1032,302,15,1210,89,1002,591,1377,185
920,438,15,469,795,1105,649,1213,703
1009,482,15,1214,890,1417,498,364,536
1259,700,15,878,236,575,309,1571,539
1488,214,15,1378,552,805,710,614,725
938,880,15,933,151,1298,396,902,97
1320,313,15,1671,915,1447,229,1617,599
1528,440,15,1060,280,1133,357,829,206
655,841,15,1766,392,1097,322,628,469
1413,644,15,646,788,1069,687,729,613
1345,702,15,1323,720,991,797,1497,367
637,550,15,26,193,950,668,1432,314
1605,434,15,1393,221,1059,497,1489,879
602,385,15,978,532,656,298,399,541
1141,301,15,1638,108,580,522,1402,468
1528,410,15,479,111,537,192,1522,309
1213,146,15,860,946,763,154,669,443
935,758,15,1915,600,901,312,1576,866
1521,141,15,1621,877,814,611,1142,232
419,440,15,694,676,819,307,1454,824
998,368,15,523,554,1433,357,618,522
292,199,15,1579,166,829,64,1276,713
1516,284,15,392,951,1457,320,1071,721
977,433,15,622,965,1239,411,785,732
930,255,15,150,206,1275,416,1225,272
1109,756,15,1225,210,554,329,836,347
1189,638,15,434,691,1013,616,1290,289
717,884,15,773,636,949,218,461,342
1412,778,15,1313,171,1145,272,584,622
755,611,15,1346,222,500,318,914,894
686,235,15,553,817,1332,410,1219,234
921,557,15,1950,42,864,315,1418,368
1045,368,15,657,37,1265,87,1468,148
893,837,15,990,866,1119,148,1497,323
755,396,15,613,645,557,389,1093,794
417,263,13,1243,432,1256,694,795,159
1562,293,13,159,895,992,395,703,206
541,237,13,413,393,949,276,1428,926
1343,604,13,237,959,1215,555,1222,207
956,137,13,663,306,749,233,634,734
1526,334,13,34,630,1068,524,370,415
1042,698,13,290,895,1165,751,1163,720
1023,804,13,1157,721,1054,671,538,335
718,142,13,569,529,735,115,1472,459
652,793,13,1037,620,1319,232,893,770
1461,450,13,1628,731,1412,419,1355,952
1679,142,13,1609,761,786,736,568,592
705,652,13,666,185,1300,277,1550,778
1147,375,13,379,748,1032,732,1241,830
1636,486,13,92,77,1277,191,781,317
380,137,13,59,323,850,452,382,605
1459,177,13,511,36,570,188,412,616
778,598,13,1415,758,1406,222,677,578
1461,400,13,887,154,610,453,749,633
684,446,13,319,210,1217,272,902,852
707,621,13,1091,925,1369,217,775,699
536,297,13,1287,593,945,584,717,256
685,176,13,1105,810,1028,911,681,598
1142,423,13,1935,64,901,791,1306,143
1606,324,13,454,135,715,501,1284,154
577,540,13,1453,247,1062,779,558,641
1310,265,13,84,632,830,672,1365,81
1661,412,13,1256,93,1044,885,735,722
308,143,13,1843,67,1494,309,1447,394
1346,725,13,289,70,926,597,1558,559
1109,697,13,435,505,851,659,1508,257
