ts,series,value
2015-09-19 08:00:00,Previous Week,65300.666666666664
2015-09-19 09:00:00,Previous Week,63721.15
2015-09-19 10:00:00,Previous Week,62789.7
2015-09-19 11:00:00,Previous Week,64171.316666666666
2015-09-19 12:00:00,Previous Week,68234.65
2015-09-19 13:00:00,Previous Week,74168.16666666667
2015-09-19 14:00:00,Previous Week,82095.21666666666
2015-09-19 15:00:00,Previous Week,86749.58333333333
2015-09-19 16:00:00,Previous Week,83657.56666666667
2015-09-19 17:00:00,Previous Week,76734.01666666666
2015-09-19 18:00:00,Previous Week,70118.23333333334
2015-09-19 19:00:00,Previous Week,63084.01666666667
2015-09-19 20:00:00,Previous Week,51945.46666666667
2015-09-19 21:00:00,Previous Week,38548.183333333334
2015-09-19 22:00:00,Previous Week,27218.783333333333
2015-09-19 23:00:00,Previous Week,19030.883333333335
2015-09-20 00:00:00,Previous Week,14092.366666666667
2015-09-20 01:00:00,Previous Week,15198.6
2015-09-20 02:00:00,Previous Week,21632.266666666666
2015-09-20 03:00:00,Previous Week,35033.53333333333
2015-09-20 04:00:00,Previous Week,52989.583333333336
2015-09-20 05:00:00,Previous Week,69659.26666666666
2015-09-20 06:00:00,Previous Week,76504.75
2015-09-20 07:00:00,Previous Week,73814.68333333333
2015-09-20 08:00:00,Previous Week,71767.36666666667
2015-09-20 09:00:00,Previous Week,69836.8
2015-09-20 10:00:00,Previous Week,68204.53333333334
2015-09-20 11:00:00,Previous Week,69513.11666666667
2015-09-20 12:00:00,Previous Week,74181.1
2015-09-20 13:00:00,Previous Week,81471.83333333333
2015-09-20 14:00:00,Previous Week,91591.56666666667
2015-09-20 15:00:00,Previous Week,98248.63333333333
2015-09-20 16:00:00,Previous Week,97276.61666666667
2015-09-20 17:00:00,Previous Week,92304.01666666666
2015-09-20 18:00:00,Previous Week,86246.4
2015-09-20 19:00:00,Previous Week,79387.73333333334
2015-09-20 20:00:00,Previous Week,68685.35
2015-09-20 21:00:00,Previous Week,54448.95
2015-09-20 22:00:00,Previous Week,40502.35
2015-09-20 23:00:00,Previous Week,29117.65
2015-09-21 00:00:00,Previous Week,19971.5
2015-09-21 01:00:00,Previous Week,18745.483333333334
2015-09-21 02:00:00,Previous Week,23376
2015-09-21 03:00:00,Previous Week,34716.933333333334
2015-09-21 04:00:00,Previous Week,51032.01666666667
2015-09-21 05:00:00,Previous Week,66976.41666666667
2015-09-21 06:00:00,Previous Week,73212.71666666666
2015-09-21 07:00:00,Previous Week,71066.28333333334
2015-09-21 08:00:00,Previous Week,69620.3
2015-09-21 09:00:00,Previous Week,67595.26666666666
2015-09-21 10:00:00,Previous Week,66267.8
2015-09-21 11:00:00,Previous Week,70297.46666666666
2015-09-21 12:00:00,Previous Week,77637.31666666667
2015-09-21 13:00:00,Previous Week,87423.61666666667
2015-09-21 14:00:00,Previous Week,99719.43333333333
2015-09-21 15:00:00,Previous Week,110855.28333333334
2015-09-21 16:00:00,Previous Week,115828.98333333334
2015-09-21 17:00:00,Previous Week,116780.06666666667
2015-09-21 18:00:00,Previous Week,116652.1
2015-09-21 19:00:00,Previous Week,118016.38333333333
2015-09-21 20:00:00,Previous Week,114660.28333333334
2015-09-21 21:00:00,Previous Week,100909.28333333334
2015-09-21 22:00:00,Previous Week,85253.1
2015-09-21 23:00:00,Previous Week,68954.21666666666
2015-09-22 00:00:00,Previous Week,45628.05
2015-09-22 01:00:00,Previous Week,31467.016666666666
2015-09-22 02:00:00,Previous Week,24991.316666666666
2015-09-22 03:00:00,Previous Week,25768.95
2015-09-22 04:00:00,Previous Week,31834.983333333334
2015-09-22 05:00:00,Previous Week,39728.46666666667
2015-09-22 06:00:00,Previous Week,48350.1
2015-09-22 07:00:00,Previous Week,56379.433333333334
2015-09-22 08:00:00,Previous Week,63010.666666666664
2015-09-22 09:00:00,Previous Week,67648.06666666667
2015-09-22 10:00:00,Previous Week,71025.63333333333
2015-09-22 11:00:00,Previous Week,75467.43333333333
2015-09-22 12:00:00,Previous Week,80386.1
2015-09-22 13:00:00,Previous Week,86327.83333333333
2015-09-22 14:00:00,Previous Week,93422.31666666667
2015-09-22 15:00:00,Previous Week,101676.96666666666
2015-09-22 16:00:00,Previous Week,108225
2015-09-22 17:00:00,Previous Week,111801.21666666666
2015-09-22 18:00:00,Previous Week,114540.6
2015-09-22 19:00:00,Previous Week,117804.56666666667
2015-09-22 20:00:00,Previous Week,116554.65
2015-09-22 21:00:00,Previous Week,105383.33333333333
2015-09-22 22:00:00,Previous Week,91199.56666666667
2015-09-22 23:00:00,Previous Week,76802.43333333333
2015-09-23 00:00:00,Previous Week,52720
2015-09-23 01:00:00,Previous Week,35935.05
2015-09-23 02:00:00,Previous Week,26616.083333333332
2015-09-23 03:00:00,Previous Week,24293.966666666667
2015-09-23 04:00:00,Previous Week,27358.866666666665
2015-09-23 05:00:00,Previous Week,32751.333333333332
2015-09-23 06:00:00,Previous Week,40164.03333333333
2015-09-23 07:00:00,Previous Week,47863.15
2015-09-23 08:00:00,Previous Week,53683.15
2015-09-23 09:00:00,Previous Week,56682.01666666667
2015-09-23 10:00:00,Previous Week,57714.78333333333
2015-09-23 11:00:00,Previous Week,59977.36666666667
2015-09-23 12:00:00,Previous Week,62843.51666666667
2015-09-23 13:00:00,Previous Week,65628.95
2015-09-23 14:00:00,Previous Week,67470.5
2015-09-23 15:00:00,Previous Week,67752.38333333333
2015-09-23 16:00:00,Previous Week,66052.53333333334
2015-09-23 17:00:00,Previous Week,63285.88333333333
2015-09-23 18:00:00,Previous Week,58253.683333333334
2015-09-23 19:00:00,Previous Week,51932.45
2015-09-23 20:00:00,Previous Week,42997.083333333336
