status,gender1,gender2,age1,age2,couples
2,F,F,16,24,456
2,F,F,16,25,373
2,F,F,16,26,294
2,F,F,16,27,202
2,F,F,16,28,163
2,F,F,16,29,153
2,F,F,16,30,114
2,F,F,16,31,101
2,F,F,16,32,142
2,F,F,16,33,96
2,F,F,16,34,50
2,F,F,16,35,76
2,F,F,16,36,63
2,F,F,16,37,56
2,F,F,16,38,47
2,F,F,16,39,35
2,F,F,16,40,33
2,F,F,16,41,35
2,F,F,16,42,35
2,F,F,16,43,54
2,F,F,16,44,37
2,F,F,16,45,31
2,F,F,16,46,27
2,F,F,16,47,17
2,F,F,16,48,16
2,F,F,16,49,20
2,F,F,16,50,17
2,F,F,16,51,8
2,F,F,16,52,19
2,F,F,16,53,6
2,F,F,16,54,14
2,F,F,16,55,17
2,F,F,16,56,6
2,F,F,16,57,11
2,F,F,16,58,7
2,F,F,16,59,9
2,F,F,16,60,4
2,F,F,16,61,5
2,F,F,16,62,8
2,F,F,16,63,8
2,F,F,16,64,3
2,F,F,16,65,1
2,F,F,16,66,9
2,F,F,16,67,32
2,F,F,16,68,22
2,F,F,16,69,7
2,F,F,16,70,3
2,F,F,16,71,1
2,F,F,16,72,4
2,F,F,16,73,1
2,F,F,16,74,5
2,F,F,16,76,2
2,F,F,16,77,4
2,F,F,16,78,11
2,F,F,16,79,2
2,F,F,16,80,4
2,F,F,16,81,3
2,F,F,16,82,4
2,F,F,16,83,4
2,F,F,16,84,5
2,F,F,16,85,7
2,F,F,16,86,4
2,F,F,16,87,4
2,F,F,16,88,7
2,F,F,16,89,8
2,F,F,16,90,5
2,F,F,16,91,7
2,F,F,16,92,8
2,F,F,16,93,8
2,F,F,16,94,12
2,F,F,16,95,9
2,F,F,16,96,5
2,F,F,16,97,7
2,F,F,16,98,6
2,F,F,16,99,18
2,F,F,16,100,25
2,F,F,16,101,15
2,F,F,16,102,65
2,F,F,16,103,25
2,F,F,16,104,2
2,F,F,16,105,1
2,F,F,16,106,5
2,F,F,16,107,75
2,F,F,16,108,33
2,F,F,16,110,1
2,F,F,16,112,5
2,F,F,16,113,1
2,F,F,17,13,1681
2,F,F,17,14,4580
2,F,F,17,15,7574
2,F,F,17,16,16142
2,F,F,17,17,31187
2,F,F,17,18,15008
2,F,F,17,19,5954
2,F,F,17,20,3011
2,F,F,17,21,1762
2,F,F,17,22,2046
2,F,F,17,23,1165
2,F,F,17,24,522
2,F,F,17,25,451
2,F,F,17,26,347
2,F,F,17,27,253
2,F,F,17,28,178
2,F,F,17,29,121
2,F,F,17,30,113
2,F,F,17,31,89
2,F,F,17,32,135
2,F,F,17,33,110
2,F,F,17,34,49
2,F,F,17,35,59
2,F,F,17,36,58
2,F,F,17,37,48
2,F,F,17,38,38
2,F,F,17,39,38
2,F,F,17,40,38
2,F,F,17,41,35
2,F,F,17,42,39
2,F,F,17,43,47
2,F,F,17,44,32
2,F,F,17,45,26
2,F,F,17,46,29
2,F,F,17,47,23
2,F,F,17,48,14
2,F,F,17,49,11
2,F,F,17,50,13
2,F,F,17,51,10
2,F,F,17,52,19
2,F,F,17,53,17
2,F,F,17,54,12
2,F,F,17,55,13
2,F,F,17,56,10
2,F,F,17,57,10
2,F,F,17,58,8
2,F,F,17,59,3
2,F,F,17,60,10
2,F,F,17,61,4
2,F,F,17,62,12
2,F,F,17,63,8
2,F,F,17,64,4
2,F,F,17,65,4
2,F,F,17,66,4
2,F,F,17,67,35
2,F,F,17,68,24
2,F,F,17,69,6
2,F,F,17,70,3
2,F,F,17,71,5
2,F,F,17,72,8
2,F,F,17,73,3
2,F,F,17,74,4
2,F,F,17,75,4
2,F,F,17,76,3
2,F,F,17,78,2
2,F,F,17,79,6
2,F,F,17,80,6
2,F,F,17,81,2
2,F,F,17,82,5
2,F,F,17,83,6
2,F,F,17,84,3
2,F,F,17,85,2
2,F,F,17,86,4
2,F,F,17,87,5
2,F,F,17,88,5
2,F,F,17,89,4
2,F,F,17,90,9
2,F,F,17,91,7
2,F,F,17,92,8
2,F,F,17,93,19
2,F,F,17,94,10
2,F,F,17,95,8
2,F,F,17,96,6
2,F,F,17,97,11
2,F,F,17,98,9
2,F,F,17,99,13
2,F,F,17,100,22
2,F,F,17,101,17
2,F,F,17,102,72
2,F,F,17,103,37
2,F,F,17,105,5
2,F,F,17,106,4
2,F,F,17,107,66
2,F,F,17,108,41
2,F,F,17,110,1
2,F,F,17,111,1
2,F,F,17,112,7
2,F,F,17,113,1
2,F,F,18,13,1618
2,F,F,18,14,4243
2,F,F,18,15,6151
2,F,F,18,16,8240
2,F,F,18,17,15867
2,F,F,18,18,29545
2,F,F,18,19,12751
2,F,F,18,20,5037
2,F,F,18,21,2713
2,F,F,18,22,2511
2,F,F,18,23,1493
2,F,F,18,24,721
2,F,F,18,25,546
2,F,F,18,26,380
2,F,F,18,27,320
2,F,F,18,28,240
2,F,F,18,29,180
2,F,F,18,30,126
2,F,F,18,31,103
2,F,F,18,32,156
2,F,F,18,33,111
2,F,F,18,34,51
2,F,F,18,35,66
2,F,F,18,36,51
2,F,F,18,37,53
2,F,F,18,38,52
2,F,F,18,39,43
2,F,F,18,40,36
2,F,F,18,41,25
2,F,F,18,42,47
2,F,F,18,43,39
2,F,F,18,44,34
2,F,F,18,45,30
2,F,F,18,46,31
2,F,F,18,47,21
2,F,F,18,48,24
2,F,F,18,49,21
2,F,F,18,50,18
2,F,F,18,51,6
2,F,F,18,52,21
2,F,F,18,53,6
2,F,F,18,54,7
2,F,F,18,55,7
2,F,F,18,56,8
2,F,F,18,57,14
2,F,F,18,58,7
2,F,F,18,59,5
2,F,F,18,60,2
2,F,F,18,61,2
2,F,F,18,62,19
2,F,F,18,63,7
2,F,F,18,64,7
2,F,F,18,65,8
2,F,F,18,66,5
2,F,F,18,67,43
2,F,F,18,68,20
2,F,F,18,69,7
2,F,F,18,70,3
2,F,F,18,71,7
2,F,F,18,72,6
2,F,F,18,73,10
2,F,F,18,74,7
2,F,F,18,75,4
2,F,F,18,76,4
2,F,F,18,77,3
2,F,F,18,78,3
2,F,F,18,79,3
